Unità immobiliare;Tipologia;Consistenza;Indirizzo;Municipio;Foglio;Mappale;Subalterno;Tipologia destinazione;Utilizzazione;Ente assegnatario;Protocollo/ Repertorio;Estremi contratto ;Oggetto;Durata anni  contr.;Periodo contratto Dal / al;note;periodo
1;appart.;3 vani;via Arialdo Sant 69;5;686;9;713 (ex 701);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;Repertorio n. 104608;Ag. Entrate MI 1 05.07.2016 serie 3 n. 6639;Contratto per la concessione in uso gratuito a Passepartout Rete di Imprese Sociali p.iva 09689150960-cod.fisc.97765170150 delle unita’ immobiliari di proprieta’ comunale site in via Sant’arialdo n.69 - Milano. subentro, a seguito di cessione di ramo d’azienda, nel contratto sottoscritto il 20/06/2016 (repertorio comunale 104608-registrato il 5/07/2016 presso agenzia delle entrate dp di Milano- ut Milano 1 serie 3 n.6639);20;20.06.2016 19.06.2036;;marzo 2026
2;appart.;3 vani;via Arialdo Sant 69;5;686;part. 9;713 (ex 702);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
3;appart.;5,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 703);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
4;appart.;5,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 704);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
5;appart.;3,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 705);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
6;appart.;3,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 706);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
7;appart.;3,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 707);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
8;appart.;3,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 708);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
9;appart.;11,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 709);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
10;appart.;6,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 720);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
11;appart.;6,5 vani;via Arialdo Sant 69;5;686;9;713 (ex 711);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
12;magazzino;24 mq;via Arialdo Sant 69;5;686;9;713 (ex 712);Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
13;orto irrig.;;via Arialdo Sant 69;5;686;8;-;Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
14;orto irrig.;;via Arialdo Sant 69;5;686;20;-;Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
15;semin.;;via Arialdo Sant 69;5;658;3;-;Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
16;semin. irrig.;;via Arialdo Sant 69;5;658;4;-;Scopi Sociali;"Progetto: Casa Chiaravalle, da luogo per uno a luogo per tutti"". Il progetto prevede le tre macro funzioni: Socialità, Agricoltura e Accoglienza abitativa un unico sistema operativo mirato alla partecipazione e al coinvolgimento attivo delle persone. Inoltre sarà generatore di nuove economie sotenibili, inclusive e partecipate grazie alle opportunità lavorative legate all'agricoltura e alla produzione culturale che si intendono sviluppare. ";Passepartout Rete di Imprese Sociali Via Bonaventura Zumbini n. 6 20143 Milano;;;;;;;marzo 2026
