Anno;ateco_2007_2cifre;descrizione_ateco_impr_2007_2cifre;ateco_2007_5cifre;descr_ateco_impr_2007_5cifre;N. imprese;N. unità locali;N.addetti_imp;N.addetti_ul
2007;1;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;1620;Attività di supporto alla produzione animale (esclusi i servizi veterinari);1;1;1;1
2007;2;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI;2200;Utilizzo di aree forestali;1;1;1;1
2007;6;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE;6200;Estrazione di gas naturale;2;5;12459;1339,22
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8110;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia;8;8;57,17;25,83
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8120;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino";23;24;237,95;100,76
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8930;Estrazione di sale;3;3;277;26,81
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8990;Estrazione di altri minerali nca;7;7;367,49;31,48
2007;10;INDUSTRIE ALIMENTARI;10110;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi);13;13;401,27;45,28
2007;10;INDUSTRIE ALIMENTARI;10130;Produzione di prodotti a base di carne (compresa la carne di volatili);13;13;352,99;66,34
2007;10;INDUSTRIE ALIMENTARI;10200;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera;5;5;631,42;51,1
2007;10;INDUSTRIE ALIMENTARI;10310;Lavorazione e conservazione delle patate;1;1;115;1
2007;10;INDUSTRIE ALIMENTARI;10320;Produzione di succhi di frutta e di ortaggi;1;1;3,75;1,2
2007;10;INDUSTRIE ALIMENTARI;10390;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi);13;16;252,08;85,69
2007;10;INDUSTRIE ALIMENTARI;10411;Produzione di olio di oliva da olive prevalentemente non di produzione propria;3;3;6,92;3,89
2007;10;INDUSTRIE ALIMENTARI;10420;Produzione di margarina e di grassi commestibili simili;1;1;29;1
2007;10;INDUSTRIE ALIMENTARI;10511;Trattamento igienico del latte;4;4;3685;197,37
2007;10;INDUSTRIE ALIMENTARI;10512;Produzione dei derivati del latte;13;13;3254,58;808,29
2007;10;INDUSTRIE ALIMENTARI;10520;Produzione di gelati senza vendita diretta al pubblico;19;20;254,41;82,14
2007;10;INDUSTRIE ALIMENTARI;10611;Molitura del frumento;1;1;1;1
2007;10;INDUSTRIE ALIMENTARI;10613;Lavorazione del riso;6;6;202,08;72,25
2007;10;INDUSTRIE ALIMENTARI;10620;Produzione di amidi e di prodotti amidacei (compresa produzione di olio di mais);2;2;672;112,82
2007;10;INDUSTRIE ALIMENTARI;10711;Produzione di prodotti di panetteria freschi;392;411;1904,08;1659,82
2007;10;INDUSTRIE ALIMENTARI;10712;Produzione di pasticceria fresca;105;109;674,53;416,26
