Data risposta;ID impegno;Tipo utenza;Quale dichiarazione Tari hai presentato?;Nel complesso quanto è stato facile utilizzare questo servizio;Potresti specificare in quale punto hai riscontrato maggiori di;Nel complesso quanto sei soddisfatto del servizio online per la;Parleresti bene di questo servizio ad altre persone?
2024-05-13;000A135C-1511-EF11-9F89-7C1E52277232;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-02-07;000D39DA-BDC5-EE11-9079-6045BD8C5293;Utenze domestiche;Dichiarazione di cessazione;3;;3;9
2024-05-01;000EA28C-A207-EF11-9F89-000D3A2E471B;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-07-31;00183E26-264F-EF11-BFE2-6045BDF2E761;Utenze domestiche;Dichiarazione di occupazione;4;;4;9
2024-09-25;0049E2A8-4E7B-EF11-AC20-6045BD99E2A8;Utenze domestiche;Dichiarazione di cessazione;4;;4;10
2024-09-26;00599468-3D7C-EF11-AC20-000D3A299519;Utenze domestiche;Dichiarazione di variazione degli occupanti non residenti;3;;3;8
2024-01-09;005D1D0B-FDAE-EE11-A569-6045BD8C531D;Utenze domestiche;Dichiarazione di occupazione;3;;3;8
2024-06-23;0061FE09-8C31-EF11-8409-000D3AC294CC;Utenze domestiche;Dichiarazione di occupazione;2;ricerca delle informazioni sul servizio;2;6
2024-07-25;00694B22-5D4A-EF11-BFE2-000D3AAFE5B5;Utenze domestiche;Dichiarazione di cessazione;4;;4;8
2024-06-27;007D84D4-8434-EF11-8409-002248846292;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
2024-11-19;00A8BF70-78A6-EF11-B8E8-6045BD97059E;Utenze domestiche;Dichiarazione di cessazione;2;accesso al servizio (login);2;2
2024-07-20;00B53D66-8C46-EF11-BFE2-000D3A3A3B41;Utenze domestiche;Dichiarazione di occupazione;1;accesso al servizio (login);4;10
2024-02-08;00B97D23-6CC6-EE11-9079-6045BD8C54E2;Utenze domestiche;Dichiarazione di occupazione;4;;4;10
