Regione;Provincia;Comune;Indirizzo;Categoria Patrimoniale;Codice bene;Codice compendio;Descrizione;Superficie Fondiaria area (MQ)
MOLISE;ISERNIA;ACQUAVIVA D'ISERNIA;"LOCALITA' FUCILE SNC";PATRIMONIO DISPONIBILE;IS0258;ISB0479;"TERRENO AGRICOLO";370
MOLISE;ISERNIA;ACQUAVIVA D'ISERNIA;"STRADA COMUNALE CASALE snc";PATRIMONIO DISPONIBILE;IS0259;ISB0480;"TERRENO AGRICOLO";2160
MOLISE;ISERNIA;ACQUAVIVA D'ISERNIA;"STRADA COMUNALE CASALE SNC";PATRIMONIO DISPONIBILE;IS0260;ISB0481;"TERRENO AGRICOLO";420
MOLISE;ISERNIA;AGNONE;"LOCALITA' VERRINO S.N.C.";PATRIMONIO DISPONIBILE;IS0004;ISB0001;"TERRENO AGRICOLO";3110
MOLISE;ISERNIA;AGNONE;"LOCALITA' STRADA STATALE  N. 85 S.N.C.";PATRIMONIO DISPONIBILE;IS0576;ISB0530;"TERRENO AGRICOLO";1050
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0630;ISB0572;"TERRENO AGRICOLO, QUOTA 1/2";1620
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0631;ISB0573;"TERRENO DI PERTINENZA, QUOTA 1/2";250
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0627;ISB0574;"TERRENO AGRICOLO, QUOTA 1/2";2500
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0619;ISB0575;"TERRENO AGRICOLO, QUOTA 1/4";9150
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0625;ISB0576;"TERRENI AGRICOLI, QUOTA 1/2";3700
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0624;ISB0577;"TERRENI AGRICOLI, QUOTA 1/2";39080
MOLISE;ISERNIA;AGNONE;"CONTRADE SNC";PATRIMONIO DISPONIBILE;IS0623;ISB0578;"TERRENI AGRICOLI, QUOTA 1/2";1450
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0622;ISB0579;"TERRENO AGRICOLO, QUOTA 1/4";880
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0626;ISB0581;"TERRENI AGRICOLI, QUOTA 1/2";7050
MOLISE;ISERNIA;AGNONE;"STRADA COMUNALE DEGLI OGLIARI SNC";PATRIMONIO INDISPONIBILE;IS0785;ISB0694;"CASERMA DEI CARABINIERI - AREA DI PERTINENZA";8500
MOLISE;CAMPOBASSO;BARANELLO;"LOCALITA` BARANELLO -";PATRIMONIO DISPONIBILE;CB0385;CBB0500;"TERRENO AGRICOLO LOC. PETROLE - Q.P. 1/2";700
MOLISE;CAMPOBASSO;BARANELLO;"STRADA COMUNALE PETROLE snc";PATRIMONIO DISPONIBILE;CB0167;CBB0567;"TERRENI AGRICOLI - Q.P. 1/2";3736,24
MOLISE;CAMPOBASSO;BARANELLO;"STRADA COMUNALE MACCHIE SNC";PATRIMONIO DISPONIBILE;CB0612;CBB0697;"TERRENO AGRICOLO";910
MOLISE;CAMPOBASSO;BARANELLO;"STRADA COMUNALE MACCHIE SNC";PATRIMONIO DISPONIBILE;CB0613;CBB0698;"TERRENO AGRICOLO";2740
